credits,dept_num,instructor,keyword,session,term,title,university
3,RELI 488 001,"Kripal, Jeffrey J.",religi,Full Term,Fall Semester 2017,HISTORY OF RELIGIONS,rice university
3,RELI 503 001,"Stroup, John M.",religi,Full Term,Fall Semester 2017,LOSING YOUR RELIGION IN FILM,rice university
3,RELI 515 001,"Stroup, John M.",religi,Full Term,Fall Semester 2017,NIETZSCHE & RELIGIOUS THOUGHT,rice university
3,RELI 588 001,"Kripal, Jeffrey J.",religi,Full Term,Fall Semester 2017,HISTORY OF RELIGIONS,rice university
1.5,BUSI 550 001,"Windsor, Duane",respons,1st Half of Full Term,Fall Semester 2017,CORP SOCIAL RESPONSIBILITY,rice university
.75,MGMP 560 001,"Windsor, Duane",respons,PMBA ILE 1,Fall Semester 2017,CORPORATE RESPONSIBILITY,rice university
.75,MGMP 560 002,"Windsor, Duane",respons,PMBA ILE 1,Fall Semester 2017,CORPORATE RESPONSIBILITY,rice university
1.5,MGMW 560 001,"Windsor, Duane",respons,PMBA ILE 4,Fall Semester 2017,CORPORATE RESPONSIBILITY,rice university
1,UNIV 594 001,"Kalovidouris, Anastasia A.",respons,Full Term,Fall Semester 2017,RESPONSIBLE CONDUCT OF RES,rice university
3,FWIS 132 001,"Walker-McWilliams, Marcia A.",right,First Year Writing,Fall Semester 2017,WOMEN IN THE CIVIL RIGHTS MVMT,rice university
2,MGMT 643 001,"Foote, Jill",right,MBA Full Term Fall,Fall Semester 2017,EQUITY PRACTICUM I WRIGHT FUND,rice university
2,MGMT 644 001,"Foote, Jill",right,MBA Full Term Fall,Fall Semester 2017,EQUITY PRACTICUM II WRIGHT FND,rice university
3,AFSC 401 001,,secur,Full Term,Fall Semester 2017,NATIONAL SECURITY AFFAIRS I,rice university
3,GLBL 552 001,"Birenbaum, Cory S.",secur,Full Term,Fall Semester 2017,INTERNATIONAL SECURITY,rice university
1.5,MGMT 674 001,"Duarte, Jefferson",secur,MBA Term I,Fall Semester 2017,REAL ESTATE FINANCE:SECURITIES,rice university
1.5,BUSI 550 001,"Windsor, Duane",social,1st Half of Full Term,Fall Semester 2017,CORP SOCIAL RESPONSIBILITY,rice university
1,COLL 108 001,"Liu, Zhijing",social,Full Term,Fall Semester 2017,SURVIVOR: SOCIAL STRATEGIES,rice university
1,COLL 179 001,"Saldana, Juan D.",social,Full Term,Fall Semester 2017,COLLEGE SOCIAL CULTURE,rice university
3,EDUC 466 001,"Whitford, Sheila D.",social,Full Term,Fall Semester 2017,THEORY AND METHODS:SOCIAL STUD,rice university
3,EDUC 566 001,"Whitford, Sheila D.",social,Full Term,Fall Semester 2017,THEORY AND METHODS:SOCIAL STUD,rice university
3,HIST 587 001,"McDaniel, William C.
Yarbrough, Fay A.",social,Full Term,Fall Semester 2017,U.S. SOCIAL/CULTURAL HISTORY,rice university
3,PHIL 327 001,"Morrison, Donald R.",social,Full Term,Fall Semester 2017,HIST SOCIAL & POLITICAL PHILOS,rice university
3,POLI 500 001,"Esarey, Justin E.",social,Full Term,Fall Semester 2017,SOCIAL SCIENTIFIC THINKING I,rice university
3,PSYC 202 002,"Hebl, Michelle R.",social,Full Term,Fall Semester 2017,INTRO TO SOCIAL PSYCHOLOGY,rice university
3,PSYC 550 001,"King, Eden B.",social,Full Term,Fall Semester 2017,FOUNDATIONS OF SOCIAL PSYC,rice university
3,SOCI 380 001,"Werth, Robert J.",social,Full Term,Fall Semester 2017,SOCIAL THEORY,rice university
3,ARCH 105 001,"Boyer, Dominic C.
Pope, Albert H.
Morton, Timothy",societ,Full Term,Fall Semester 2017,"ENVIRONMENT, CULTURE & SOCIETY",rice university
3,ENST 100 001,"Boyer, Dominic C.
Pope, Albert H.
Morton, Timothy",societ,Full Term,Fall Semester 2017,"ENVIRONMENT, CULTURE & SOCIETY",rice university
3,HIST 421 001,"Byrd, Alexander X.",societ,Full Term,Fall Semester 2017,"RACE, EDUCATION & SOCIETY",rice university
3,HIST 521 001,"Byrd, Alexander X.",societ,Full Term,Fall Semester 2017,"RACE, EDUCATION & SOCIETY",rice university
3,SOCI 358 001,"Werth, Robert J.",societ,Full Term,Fall Semester 2017,"CRIME, PUNISHMENT AND SOCIETY",rice university
3,SOCI 364 001,"Considine, Craig M.",societ,Full Term,Fall Semester 2017,MUSLIMS IN AMERICAN SOCIETY,rice university
1.5,MACC 514 001,"Ramesh, Krishnamoorthy",valu,MBA ILE 1,Fall Semester 2017,FAIR VALUE ACCOUNTING,rice university
1.5,MGMP 602 001,"Wang, Sol S.",valu,MBA Term II,Fall Semester 2017,ACCOUNTING-BASED VALUATION,rice university
1.5,MGMP 602 002,"Wang, Sol S.",valu,EMBA Term IV,Fall Semester 2017,ACCOUNTING-BASED VALUATION,rice university
1.5,MGMT 722 001,"Donald, Alastair K.",valu,EMBA Term IV,Fall Semester 2017,SUPPLY CHAIN: OPTIMIZING VALUE,rice university
3,ARCH 455 001,"Lord, Tom F.",polic,Full Term,Fall Semester 2017,HOUSE&URBAN PROG:ISSUES POLICY,rice university
3,ECON 260 001,"Dudey, Marc P.",polic,Full Term,Fall Semester 2017,MICROECONOMICS & PUBLIC POLICY,rice university
3,ECON 479 001,"Barro, Jorge A.",polic,Full Term,Fall Semester 2017,ECONOMIC MODLG & PUBLIC POLICY,rice university
3,FWIS 172 001,"Freeman Cenegy, Laura",polic,First Year Writing,Fall Semester 2017,HEALTH POLICY DEBATES,rice university
1.5,GLBL 514 001,"Djerejian, Edward",polic,2nd Half of Full Term,Fall Semester 2017,M. EAST CAULDRON & U.S. POLICY,rice university
3,GLBL 542 001,"Papanyan, Shushanik",polic,Full Term,Fall Semester 2017,INTL MACROECONOMIC POLICY,rice university
3,GLBL 543 001,"Krane, James M.",polic,Full Term,Fall Semester 2017,ENERGY POLICY,rice university
1.5,MGMT 646 001,"Crane, Alan D.",polic,MBA Term II,Fall Semester 2017,CORPORATE INVESTMENT POLICY,rice university
1.5,MGMT 646 002,"Crane, Alan D.",polic,MBA Term II,Fall Semester 2017,CORPORATE INVESTMENT POLICY,rice university
1.5,MGMT 646 003,"Christopoulos, Andreas D.",polic,EMBA Term IV,Fall Semester 2017,CORPORATE INVESTMENT POLICY,rice university
