credits,dept_num,instructor,keyword,term,title,university
3,SGS 401,Fridkin,polit,Spring 2018,Political Statistics,arizona state university-tempe
3,SLC 429,Orlich,polit,Spring 2018,Topic: Politics & Culture in European Short Fiction,arizona state university-tempe
3,SLC 598,Orlich,polit,Spring 2018,Topic: Politics and Culture in European Short Fiction,arizona state university-tempe
3,SOS 463,Cruz-Torres,polit,Spring 2018,Politic Ecology of the Border,arizona state university-tempe
3,TCL 443,Cruz-Torres,polit,Spring 2018,Politic Ecology of the Border,arizona state university-tempe
3,TSS 598,Cruz-Torres,polit,Spring 2018,Topic: Political Ecology of the Border,arizona state university-tempe
3,WST 394,Katsulis,polit,Spring 2018,Topic: Body Politics: Food Science Fat & Fitness,arizona state university-tempe
2,AES 203,"Duncan, Santos, Tevich",power,Spring 2018,Evol/USAF Air/Space Power II,arizona state university-tempe
2,AES 203,"Duncan, Santos, Tevich",power,Spring 2018,Evol/USAF Air/Space Power II,arizona state university-tempe
3,AIS 516,Vicenti Carpio,power,Spring 2018,"Concepts of Power& Indigeneity
(SEM)",arizona state university-tempe
4,EEE 360,Lei,power,Spring 2018,Energy Sys/Power Electronics,arizona state university-tempe
0,,Lei,power,Spring 2018,"After you add the above class, you will be asked to choose from the Laboratory related class(es) below


Energy Sys/Power Electronics (LAB)",arizona state university-tempe
